route,run,status,score,collisions,failed,watchdog
11755,1,Completed,100,0,0,0
11755,2,Completed,100,0,0,0
11755,3,Completed,59.219906,12.325,1,0
11755,4,Completed,100,0,0,0
11755,5,Completed,100,0,0,0
11755,6,Completed,59.219906,12.325,1,0
11755,7,Failed,32.592,22.689,1,0
11755,8,Failed,18.2232,48.696,1,0
2143,1,Completed,100,0,0,0
2143,2,Completed,100,0,0,0
24258,1,Completed,100,0,0,0
24258,2,Completed,36,15.323,1,0
25845,1,Completed,100,0,0,0
25845,2,Completed,100,0,0,0
28243,1,,0,0,1,0
28243,2,Completed,60,12.107,1,0
2913,1,Completed,100,0,0,0
2913,2,Completed,100,0,0,0
3086,1,Completed,100,0,0,0
3086,2,Completed,100,0,0,0
3410,1,Completed,100,0,0,0
3410,2,Completed,100,0,0,0
3697,1,Completed,100,0,0,0
3697,2,Completed,100,0,0,0
3717,1,Completed,100,0,0,0
3717,2,Completed,100,0,0,0
3737,1,Completed,100,0,0,0
3737,2,Completed,100,0,0,0
4183,1,Failed,28.19,0,1,0
4183,2,Completed,60,14.015,1,0
4669,1,Failed,31.818,24.288,1,0
4669,2,Completed,100,0,0,0
3090,1,Completed,100,0,0,0
3090,2,Failed,32.55,0,1,0
4468,1,Completed,100,0,0,0
4468,2,Completed,100,0,0,0
3666,1,Completed,100,0,0,0
3666,2,Completed,100,0,0,0
