scale,run,status,score,collisions,failed,watchdog
1.0,1,Completed,100,0,0,0
1.0,2,Completed,60,12.325,1,0
1.0,3,Completed,100,0,0,0
1.0,4,Completed,100,0,0,0
1.0,5,Completed,60,12.325,1,0
1.0,6,Completed,60,12.325,1,0
0.7,1,Completed,42,12.325,1,0
0.7,2,Completed,42,12.325,1,0
0.7,3,Failed,31.854,23.215,1,0
0.7,4,Completed,100,0,0,0
0.7,5,Completed,60,12.325,1,0
0.7,6,Completed,60,12.325,1,0
1.3,1,Completed,100,0,0,0
1.3,2,Completed,60,12.325,1,0
1.3,3,Failed,31.854,23.215,1,0
1.3,4,Failed,32.592,22.689,1,0
1.3,5,Completed,100,0,0,0
1.3,6,Completed,60,12.325,1,0
