route_id,status,score_composed,score_route,score_penalty,num_infractions,wall_seconds,result,timestamp
"1825","Completed",100.0,100,1.0,18,255,DONE,2026-06-11T19:24:54
"2513","Completed",100.0,100,1.0,18,182,DONE,2026-06-11T19:27:56
"2606","Completed",100.0,100,1.0,18,227,DONE,2026-06-11T19:31:43
"1711","Completed",100.0,100,1.0,20,188,DONE,2026-06-11T19:34:51
"1773","Completed",100.0,100,1.0,18,169,DONE,2026-06-11T19:37:40
"1790","Completed",100.0,100,1.0,21,198,DONE,2026-06-11T19:40:58
"1792","Completed",100.0,100,1.0,20,162,DONE,2026-06-11T19:49:00
"1833","Completed",100.0,100,1.0,20,226,DONE,2026-06-11T19:52:46
"1852","Completed",100.0,100,1.0,20,217,DONE,2026-06-11T19:56:23
"1956","Completed",100.0,100,1.0,20,205,DONE,2026-06-11T19:59:48
"2050","Completed",100.0,100,1.0,21,139,DONE,2026-06-11T20:02:07
"2082","Completed",100.0,100,1.0,18,148,DONE,2026-06-11T20:04:35
"2084","Completed",100.0,100,1.0,21,937,DONE,2026-06-11T20:20:12
"2086","Completed",100.0,100,1.0,21,151,DONE,2026-06-11T20:22:43
"2091","Completed",100.0,100,1.0,20,174,DONE,2026-06-11T20:25:37
"2115","Completed",100.0,100,1.0,19,148,DONE,2026-06-11T20:28:05
"2127","Completed",60.0,100,0.6,21,164,DONE,2026-06-11T20:30:49
"2129","Completed",100.0,100,1.0,18,144,DONE,2026-06-11T20:33:13
"2143","Completed",100.0,100,1.0,20,175,DONE,2026-06-11T20:36:07
"2144","Completed",100.0,100,1.0,20,329,DONE,2026-06-11T20:41:37
"2164","Completed",100.0,100,1.0,20,223,DONE,2026-06-11T20:45:19
"2201","Completed",42.0,100,0.42,19,263,DONE,2026-06-11T20:49:42
"2204","Failed - TickRuntime",30.26,30.26,1.0,5,1089,DONE,2026-06-11T21:07:51
"2215","Completed",70.0,100,0.7,21,232,DONE,2026-06-11T21:11:43
"2273","Completed",100.0,100,1.0,21,135,DONE,2026-06-11T21:13:57
"2283","Completed",100.0,100.0,1.0,20,172,DONE,2026-06-11T21:16:49
"2286","Completed",100.0,100,1.0,19,154,DONE,2026-06-11T21:19:23
"2373","Completed",100.0,100,1.0,19,147,DONE,2026-06-11T21:21:50
"2390","Completed",100.0,100,1.0,18,119,DONE,2026-06-11T21:23:49
"2397","Completed",100.0,100,1.0,19,125,DONE,2026-06-11T21:25:54
"2403","Completed",100.0,100,1.0,19,118,DONE,2026-06-11T21:27:52
"2416","Completed",100.0,100,1.0,20,172,DONE,2026-06-11T21:30:44
"2534","Completed",100.0,100,1.0,19,162,DONE,2026-06-11T21:33:26
"2539","Completed",100.0,100,1.0,19,166,DONE,2026-06-11T21:36:13
"2554","Completed",100.0,100,1.0,18,160,DONE,2026-06-11T21:38:53
"2643","Completed",100.0,100,1.0,19,351,DONE,2026-06-11T21:44:44
"2664","Completed",100.0,100,1.0,18,250,DONE,2026-06-11T21:48:53
"2668","Completed",100.0,100,1.0,20,305,DONE,2026-06-11T21:53:59
"2709","Completed",100.0,100,1.0,20,178,DONE,2026-06-11T21:56:56
"2715","Completed",100.0,100,1.0,20,168,DONE,2026-06-11T21:59:44
"2790","Completed",98.993457,100,0.989935,20,138,DONE,2026-06-11T22:02:02
"2802","Completed",100.0,100,1.0,20,292,DONE,2026-06-11T22:06:54
"2844","Completed",100.0,100,1.0,21,166,DONE,2026-06-11T22:09:40
"2847","Completed",100.0,100,1.0,18,166,DONE,2026-06-11T22:12:26
"2881","Completed",100.0,100,1.0,21,160,DONE,2026-06-11T22:15:06
"2903","Failed - TickRuntime",21.132,35.22,0.6,6,1139,DONE,2026-06-11T22:34:05
"2913","Completed",100.0,100,1.0,21,175,DONE,2026-06-11T22:37:00
"2943","Completed",100.0,100,1.0,20,355,DONE,2026-06-11T22:42:55
"2989","Failed - TickRuntime",32.56,32.56,1.0,6,1285,DONE,2026-06-11T23:04:20
"3048","Completed",100.0,100,1.0,20,157,DONE,2026-06-11T23:06:56
"3072","Completed",100.0,100,1.0,20,164,DONE,2026-06-11T23:09:40
"3074","Completed",100.0,100,1.0,19,149,DONE,2026-06-11T23:12:09
"3080","Completed",100.0,100,1.0,20,169,DONE,2026-06-11T23:14:58
"3086","Completed",100.0,100,1.0,17,232,DONE,2026-06-11T23:18:50
"3090","Completed",100.0,100,1.0,17,144,DONE,2026-06-11T23:21:14
"3093","Completed",60.0,100,0.6,19,169,DONE,2026-06-11T23:24:03
"3099","Completed",100.0,100,1.0,18,308,DONE,2026-06-11T23:29:11
"3100","Completed",100.0,100,1.0,17,154,DONE,2026-06-11T23:31:45
"3144","Completed",100.0,100,1.0,19,280,DONE,2026-06-11T23:36:25
"3178","Completed",100.0,100,1.0,18,174,DONE,2026-06-11T23:39:20
"3184","Completed",100.0,100,1.0,18,172,DONE,2026-06-11T23:42:12
"3189","Completed",100.0,100,1.0,18,395,DONE,2026-06-11T23:48:47
"3248","Completed",100.0,100,1.0,20,242,DONE,2026-06-11T23:52:49
"3255","Completed",100.0,100,1.0,21,270,DONE,2026-06-11T23:57:19
"3307","Completed",100.0,100,1.0,20,195,DONE,2026-06-12T00:00:34
"3364","Completed",70.0,100,0.7,20,154,DONE,2026-06-12T00:03:08
"3373","Completed",70.0,100,0.7,20,167,DONE,2026-06-12T00:05:55
"3378","Completed",70.0,100,0.7,20,179,DONE,2026-06-12T00:08:55
"3380","Completed",70.0,100,0.7,19,184,DONE,2026-06-12T00:11:59
"3410","Completed",100.0,100,1.0,20,349,DONE,2026-06-12T00:17:48
"3436","Completed",21.6,100,0.216,21,678,DONE,2026-06-12T00:29:06
"3457","Completed",100.0,100,1.0,18,230,DONE,2026-06-12T00:32:56
"3464","Completed",100.0,100,1.0,20,254,DONE,2026-06-12T00:37:10
"3472","Completed",100.0,100,1.0,19,201,DONE,2026-06-12T00:40:31
"3476","Completed",100.0,100,1.0,18,187,DONE,2026-06-12T00:43:37
"3482","Completed",100.0,100,1.0,18,1043,DONE,2026-06-12T01:01:00
"3514","Completed",100.0,100,1.0,20,237,DONE,2026-06-12T01:04:57
"3520","Completed",100.0,100,1.0,19,242,DONE,2026-06-12T01:08:59
"3540","Completed",100.0,100,1.0,20,243,DONE,2026-06-12T01:13:03
"3561","Completed",100.0,100,1.0,19,197,DONE,2026-06-12T01:16:19
