route,arm,k,status,score,collisions,failed,watchdog
11715,base,1,Completed,100,0,0,0
11715,cand,3,Failed,30.48,22.974,1,0
11715,base,4,INVALID,,,NA,1
17569,cand,2,Completed,100,0,0,0
17569,base,3,Completed,100,0,0,0
17598,cand,1,Completed,100,0,0,0
17598,base,2,INVALID,,,NA,1
17598,cand,4,,0,0,1,0
2084,base,1,Completed,60,12.614,1,0
2084,cand,3,Completed,60,12.614,1,0
2084,base,4,Completed,60,12.614,1,0
24258,base,3,Failed,52.68,8.726,1,0
24795,cand,1,Completed,100,0,0,0
24795,base,2,Completed,100,0,0,0
24795,cand,4,Completed,100,0,0,0
25845,base,1,Completed,100,0,0,0
25845,cand,3,Failed,41.142,13.864,1,0
25845,base,4,Completed,100,0,0,0
2664,cand,2,INVALID,,,NA,1
2664,base,3,Completed,100,0,0,0
26944,cand,1,,0,0,1,0
26944,base,2,INVALID,,,NA,1
26944,cand,4,Failed,30.558,22.743,1,0
2709,base,1,Completed,100,0,0,0
2709,cand,3,Completed,60,7.539,1,0
2709,base,4,Completed,100,0,0,0
27506,cand,2,Completed,36,25.12,1,0
27506,base,3,Completed,100,0,0,0
27529,cand,1,Completed,100,0,0,0
27529,base,2,Completed,100,0,0,0
27529,cand,4,Completed,100,0,0,0
27532,base,1,Completed,100,0,0,0
27532,cand,3,Completed,60,14.211,1,0
27532,base,4,Completed,100,0,0,0
28099,cand,2,Completed,60,11.696,1,0
28099,base,3,Completed,100,0,0,0
28219,cand,1,Completed,100,0,0,0
28219,base,2,Failed,50.34,0,1,0
28219,cand,4,Completed,60,12.392,1,0
3086,base,1,Completed,100,0,0,0
3086,cand,3,Completed,60,12.004,1,0
3086,base,4,Completed,100,0,0,0
3464,cand,2,Completed,100,0,0,0
3464,base,3,Completed,100,0,0,0
3670,cand,1,Completed,100,0,0,0
3670,base,2,Completed,100,0,0,0
3670,cand,4,Completed,60,13.789,1,0
3737,base,1,Completed,100,0,0,0
3737,cand,3,Completed,12.96,54.379,1,0
3737,base,4,Completed,100,0,0,0
2050,cand,2,Completed,70,0,1,0
28243,base,1,Completed,100,0,0,0
3048,cand,1,Completed,100,0,0,0
3048,base,2,Completed,60,6.095,1,0
3144,cand,2,Completed,70,0,1,0
3865,base,1,Completed,100,0,0,0
4937,cand,1,Completed,70,0,1,0
4937,base,2,Completed,100,0,0,0
