route,run,arm,status,score,collisions,failed,watchdog
10857,1,cand,Completed,100,0,0,0
10857,1,base,Completed,100,0,0,0
10857,2,cand,Completed,100,0,0,0
10857,2,base,Completed,100,0,0,0
10857,3,cand,Completed,100,0,0,0
10857,3,base,Completed,100,0,0,0
10857,4,cand,Completed,100,0,0,0
10857,4,base,Completed,100,0,0,0
1711,1,cand,Failed,7.440732,61.414,1,0
1711,1,base,Completed,100,0,0,0
1711,2,cand,Failed,15.4476,35.008,1,0
1711,2,base,Completed,100,0,0,0
1711,3,cand,Completed,100,0,0,0
1711,3,base,Completed,100,0,0,0
1711,4,cand,Completed,100,0,0,0
1711,4,base,Completed,100,0,0,0
2143,1,cand,Completed,60,12.763,1,0
2143,1,base,Completed,100,0,0,0
2143,2,cand,Completed,60,12.763,1,0
2143,2,base,Completed,100,0,0,0
2143,3,cand,Completed,60,12.763,1,0
2143,3,base,Completed,100,0,0,0
2143,4,cand,Completed,60,12.763,1,0
2143,4,base,Completed,100,0,0,0
24258,1,cand,Failed,46.278,9.933,1,0
24258,1,base,Completed,100,0,0,0
24258,2,cand,Failed,46.278,9.933,1,0
24258,2,base,Completed,100,0,0,0
24258,3,cand,Completed,60,7.662,1,0
24258,3,base,Completed,100,0,0,0
24258,4,cand,Failed,46.278,9.933,1,0
24258,4,base,Failed,25.2972,21.806,1,0
24333,1,cand,,0,0,1,0
24333,1,base,Completed,100,0,0,0
24333,2,cand,Completed,100,0,0,0
24333,2,base,Completed,100,0,0,0
24333,3,cand,Completed,100,0,0,0
24333,3,base,Completed,100,0,0,0
24333,4,cand,Completed,100,0,0,0
24333,4,base,Completed,100,0,0,0
2509,1,cand,Completed,60,7.458,1,0
2509,1,base,Completed,100,0,0,0
2509,2,cand,Completed,100,0,0,0
2509,2,base,Completed,100,0,0,0
2509,3,cand,Completed,100,0,0,0
2509,3,base,Completed,100,0,0,0
2509,4,cand,Completed,100,0,0,0
2509,4,base,Completed,100,0,0,0
2539,1,cand,Completed,60,7.494,1,0
2539,1,base,Completed,100,0,0,0
2539,2,cand,Completed,100,0,0,0
2539,2,base,Completed,100,0,0,0
2539,3,cand,Completed,60,7.494,1,0
2539,3,base,Completed,100,0,0,0
2539,4,cand,Completed,100,0,0,0
2539,4,base,Completed,100,0,0,0
25845,1,cand,Failed,22.6296,30.247,1,0
25845,1,base,Completed,100,0,0,0
25845,2,cand,Completed,100,0,0,0
25845,2,base,Completed,100,0,0,0
25845,3,cand,Failed,26.0532,26.273,1,0
25845,3,base,Completed,100,0,0,0
25845,4,cand,Failed,22.6296,30.247,1,0
25845,4,base,Completed,100,0,0,0
27494,1,cand,Completed,100,0,0,0
27494,1,base,Completed,100,0,0,0
27494,2,cand,Completed,100,0,0,0
27494,2,base,Completed,100,0,0,0
27494,3,cand,Completed,100,0,0,0
27494,3,base,Completed,100,0,0,0
27494,4,cand,Completed,100,0,0,0
27494,4,base,Completed,100,0,0,0
28243,1,cand,,0,0,1,0
28243,1,base,Completed,100,0,0,0
28243,2,cand,Completed,70,0,1,0
28243,2,base,Completed,100,0,0,0
28243,3,cand,Completed,42,12.107,1,0
28243,3,base,Completed,60,12.107,1,0
28243,4,cand,Completed,42,12.107,1,0
