route,status,score,collisions,failed,watchdog
11715,Completed,60,11.671,1,0
14862,Completed,100,0,0,0
17569,Completed,60,8.669,1,0
17752,Completed,100,0,0,0
1825,Completed,100,0,0,0
1833,Completed,100,0,0,0
1956,Completed,100,0,0,0
2084,Failed,27.522,27.498,1,0
20920,Completed,100,0,0,0
2143,Completed,100,0,0,0
2273,Completed,100,0,0,0
23658,Completed,100,0,0,0
23708,Completed,100,0,0,0
2390,Failed,42.54,0,1,0
23930,Completed,100,0,0,0
24071,Completed,100,0,0,0
24211,Completed,100,0,0,0
24258,Failed,50.85,9.04,1,0
24333,Completed,100,0,0,0
24757,Completed,100,0,0,0
24785,Completed,100,0,0,0
2509,Completed,100,0,0,0
25318,Completed,100,0,0,0
25383,Completed,100,0,0,0
25439,Completed,100,0,0,0
25863,Completed,100,0,0,0
25951,Completed,100,0,0,0
2606,Completed,100,0,0,0
26405,Completed,100,0,0,0
26418,Completed,100,0,0,0
2664,Failed,29.34,15.368,1,0
2709,Completed,60,7.539,1,0
27506,Completed,60,12.56,1,0
27582,Completed,100,0,0,0
28099,Completed,60,11.696,1,0
28198,Completed,100,0,0,0
28229,Completed,70,0,1,0
2844,Completed,100,0,0,0
2913,Completed,100,0,0,0
3072,Completed,100,0,0,0
3086,Completed,60,12.004,1,0
3100,Completed,100,0,0,0
3184,Completed,100,0,0,0
3255,Completed,100,0,0,0
3457,Completed,100,0,0,0
3476,Completed,100,0,0,0
3520,Completed,100,0,0,0
3564,Completed,100,0,0,0
3666,Completed,100,0,0,0
3697,Completed,100,0,0,0
3717,Completed,100,0,0,0
3749,Completed,70,0,1,0
3813,Completed,100,0,0,0
3876,Failed,27.559,0,1,0
3936,Completed,100,0,0,0
4669,Completed,100,0,0,0
