route,run,status,score,collisions,failed,watchdog
11755,1,Completed,100,0,0,0
11755,2,Completed,100,0,0,0
11755,3,Completed,100,0,0,0
11755,4,Completed,100,0,0,0
11755,5,Completed,100,0,0,0
11755,6,Completed,100,0,0,0
11755,7,Completed,100,0,0,0
11755,8,Completed,100,0,0,0
2143,1,Completed,60,12.763,1,0
2143,2,Completed,60,12.763,1,0
24258,1,Failed,32.1588,17.153,1,0
24258,2,Completed,60,7.662,1,0
25845,1,,0,0,1,0
25845,2,Failed,22.6296,30.247,1,0
28243,1,Completed,42,12.107,1,0
28243,2,Completed,70,0,1,0
2913,1,Completed,60,12.742,1,0
2913,2,Completed,60,12.742,1,0
3086,1,Completed,42,12.004,1,0
3086,2,Completed,42,12.004,1,0
