route,run,status,score,collisions,failed,watchdog
11755,1,Completed,100,0,0,0
11755,2,Completed,70,0,1,0
11755,3,Failed,31.854,23.215,1,0
11755,4,Completed,100,0,0,0
11755,5,Failed,31.854,23.215,1,0
11755,6,Completed,100,0,0,0
11755,7,Failed,31.854,23.215,1,0
11755,8,Completed,100,0,0,0
2143,1,Completed,100,0,0,0
2143,2,Completed,100,0,0,0
24258,1,Completed,60,7.662,1,0
24258,2,Failed,52.68,8.726,1,0
25845,1,,0,0,1,0
25845,2,Completed,100,0,0,0
28243,1,Completed,100,0,0,0
28243,2,Completed,100,0,0,0
2913,1,Completed,100,0,0,0
2913,2,Completed,100,0,0,0
3086,1,Completed,100,0,0,0
3086,2,Completed,100,0,0,0
3410,1,Completed,100,0,0,0
3410,2,Completed,100,0,0,0
3697,1,Completed,100,0,0,0
3697,2,Completed,100,0,0,0
3717,1,Completed,100,0,0,0
3717,2,Failed,37.67,0,1,0
3737,1,Completed,100,0,0,0
3737,2,Completed,100,0,0,0
4183,1,Completed,60,14.015,1,0
4183,2,Failed,26.322,31.948,1,0
4669,1,Failed,29.226,26.442,1,0
4669,2,Completed,60,12.88,1,0
3090,1,Completed,100,0,0,0
3090,2,Completed,100,0,0,0
4468,1,Completed,60,12.888,1,0
4468,2,Completed,100,0,0,0
3666,1,Completed,60,13.438,1,0
3666,2,Completed,100,0,0,0
