route,town,n_waypoints,length_m,n_scenarios,scenario_types
10857,Town12,28,72.6,1,VehicleTurningRoutePedestrian
11381,Town12,28,72.6,1,VehicleTurningRoutePedestrian
11715,Town12,28,86.2,1,EnterActorFlow
11755,Town12,26,82.1,1,EnterActorFlow
14194,Town12,27,75.7,1,PedestrianCrossing
14842,Town12,18,53.9,1,VanillaSignalizedTurnEncounterGreenLight
14862,Town12,18,57.2,1,VanillaSignalizedTurnEncounterGreenLight
14909,Town12,18,55.8,1,VanillaSignalizedTurnEncounterGreenLight
1711,Town12,68,134.0,1,ParkingCutIn
17563,Town12,24,117.2,1,SequentialLaneChange
17569,Town12,24,117.1,1,SequentialLaneChange
17598,Town12,25,122.3,1,SequentialLaneChange
17635,Town12,24,117.4,1,SequentialLaneChange
17655,Town12,25,122.3,1,SequentialLaneChange
1773,Town12,68,134.0,1,ParkedObstacle
17752,Town12,68,134.0,1,DynamicObjectCrossing
1790,Town12,61,120.0,1,HazardAtSideLane
1792,Town12,68,134.0,1,HazardAtSideLane
1825,Town12,68,134.0,1,ConstructionObstacleTwoWays
18252,Town12,68,134.0,1,ParkingCrossingPedestrian
18305,Town12,68,134.0,1,ParkingCutIn
18311,Town12,68,134.0,1,ParkingCutIn
1833,Town12,68,134.0,1,ConstructionObstacleTwoWays
18356,Town12,68,134.0,1,ParkingCutIn
1852,Town12,68,134.0,1,AccidentTwoWays
1956,Town12,68,134.0,1,ParkingExit
2050,Town12,26,74.0,1,SignalizedJunctionRightTurn
2082,Town12,27,78.4,1,OppositeVehicleRunningRedLight
2084,Town12,28,73.8,1,NonSignalizedJunctionLeftTurn
2086,Town12,28,74.0,1,NonSignalizedJunctionLeftTurn
2091,Town12,26,72.7,1,NonSignalizedJunctionLeftTurn
20920,Town12,68,134.0,1,ConstructionObstacleTwoWays
2115,Town12,25,68.3,1,NonSignalizedJunctionRightTurn
2127,Town12,26,72.8,1,OppositeVehicleTakingPriority
2129,Town12,28,76.7,1,OppositeVehicleTakingPriority
2143,Town12,28,73.8,1,OppositeVehicleTakingPriority
2144,Town12,27,71.2,1,VehicleTurningRoute
2164,Town12,26,69.9,1,VehicleTurningRoutePedestrian
2201,Town12,28,78.5,1,EnterActorFlow
2204,Town12,26,69.8,1,BlockedIntersection
2215,Town12,28,69.3,1,BlockedIntersection
2273,Town12,26,138.4,1,MergerIntoSlowTraffic
2283,Town12,28,139.5,1,MergerIntoSlowTraffic
2286,Town12,28,106.1,1,HighwayCutIn
23658,Town12,26,105.6,1,HighwayExit
23659,Town12,27,100.1,1,HighwayExit
23670,Town13,26,165.6,1,HighwayExit
23687,Town12,27,154.3,1,HighwayExit
23695,Town13,29,154.2,1,InterurbanAdvancedActorFlow
23700,Town12,26,113.1,1,InterurbanAdvancedActorFlow
23708,Town12,28,148.3,1,InterurbanAdvancedActorFlow
2373,Town12,18,60.8,1,VanillaSignalizedTurnEncounterRedLight
23771,Town12,25,145.9,1,MergerIntoSlowTrafficV2
2390,Town12,18,59.7,1,VanillaNonSignalizedTurn
23901,Town13,27,159.4,1,InterurbanActorFlow
23910,Town12,26,106.3,1,InterurbanActorFlow
23918,Town13,27,133.9,1,InterurbanActorFlow
23930,Town12,27,111.9,1,InterurbanActorFlow
2397,Town12,18,60.5,1,VanillaNonSignalizedTurn
2403,Town12,19,62.2,1,VanillaNonSignalizedTurn
24041,Town13,28,161.4,1,HighwayExit
24071,Town13,29,154.2,1,InterurbanAdvancedActorFlow
24078,Town12,26,113.1,1,InterurbanAdvancedActorFlow
24092,Town13,26,151.1,1,MergerIntoSlowTrafficV2
24098,Town12,26,106.3,1,InterurbanActorFlow
2416,Town12,17,51.8,1,VanillaNonSignalizedTurnEncounterStopsign
24206,Town03,67,134.0,1,ParkingCrossingPedestrian
24211,Town01,68,134.0,1,DynamicObjectCrossing
24224,Town02,68,134.0,1,DynamicObjectCrossing
24240,Town10HD,48,102.3,1,Accident
24252,Town11,68,134.5,1,DynamicObjectCrossing
24258,Town07,68,132.5,1,HazardAtSideLaneTwoWays
24294,Town02,53,104.0,1,ParkingCrossingPedestrian
24330,Town10HD,48,102.3,1,HardBreakRoute
24333,Town15,68,133.8,1,DynamicObjectCrossing
24340,Town10HD,48,102.3,1,ControlLoss
24367,Town06,68,134.0,1,ConstructionObstacle
24757,Town06,68,134.1,1,ParkedObstacle
24759,Town05,68,136.8,1,ParkingCutIn
