route,status,score,collisions,failed,watchdog
10857,Completed,25,26.192,1,0
11381,Completed,100,0,0,0
11715,Failed,50.8,0,1,0
11755,Completed,100,0,0,0
14194,Completed,100,0,0,0
14842,Completed,100,0,0,0
14862,Completed,100,0,0,0
14909,Completed,100,0,0,0
1711,Failed,15.4476,35.008,1,0
17563,Completed,36,17.342,1,0
17569,Completed,100,0,0,0
17598,Completed,100,0,0,0
17635,Completed,60,8.655,1,0
17655,Completed,100,0,0,0
1773,Completed,100,0,0,0
17752,Completed,100,0,0,0
1790,Completed,100,0,0,0
1792,Completed,100,0,0,0
1825,Completed,100,0,0,0
18252,Completed,100,0,0,0
18305,Completed,100,0,0,0
18311,Completed,100,0,0,0
1833,Completed,100,0,0,0
18356,Completed,100,0,0,0
1852,INVALID,,,NA,1
1956,INVALID,,,NA,1
2050,INVALID,,,NA,1
2082,Completed,100,0,0,0
2084,,0,0,1,0
2086,Completed,100,0,0,0
2091,Completed,100,0,0,0
20920,INVALID,,,NA,1
2115,INVALID,,,NA,1
2127,INVALID,,,NA,1
2129,INVALID,,,NA,1
2143,INVALID,,,NA,1
2144,INVALID,,,NA,1
2164,INVALID,,,NA,1
2201,INVALID,,,NA,1
2204,INVALID,,,NA,1
2215,INVALID,,,NA,1
2273,INVALID,,,NA,1
2283,INVALID,,,NA,1
2286,INVALID,,,NA,1
23658,INVALID,,,NA,1
23659,INVALID,,,NA,1
23670,INVALID,,,NA,1
23687,INVALID,,,NA,1
23695,INVALID,,,NA,1
23700,INVALID,,,NA,1
23708,INVALID,,,NA,1
2373,INVALID,,,NA,1
23771,INVALID,,,NA,1
2390,INVALID,,,NA,1
23901,INVALID,,,NA,1
23910,INVALID,,,NA,1
23918,INVALID,,,NA,1
23930,INVALID,,,NA,1
2397,INVALID,,,NA,1
2403,INVALID,,,NA,1
24041,INVALID,,,NA,1
24071,INVALID,,,NA,1
24078,INVALID,,,NA,1
24092,INVALID,,,NA,1
24098,INVALID,,,NA,1
2416,INVALID,,,NA,1
24206,INVALID,,,NA,1
24211,INVALID,,,NA,1
24224,INVALID,,,NA,1
24240,INVALID,,,NA,1
24252,INVALID,,,NA,1
24258,INVALID,,,NA,1
24294,INVALID,,,NA,1
24330,INVALID,,,NA,1
24333,INVALID,,,NA,1
24340,INVALID,,,NA,1
24367,INVALID,,,NA,1
24757,INVALID,,,NA,1
24759,INVALID,,,NA,1
24781,INVALID,,,NA,1
24784,INVALID,,,NA,1
24785,INVALID,,,NA,1
24795,INVALID,,,NA,1
24816,INVALID,,,NA,1
24841,INVALID,,,NA,1
2509,INVALID,,,NA,1
2513,INVALID,,,NA,1
25300,INVALID,,,NA,1
25318,INVALID,,,NA,1
2534,INVALID,,,NA,1
25358,INVALID,,,NA,1
25378,INVALID,,,NA,1
25381,INVALID,,,NA,1
25383,INVALID,,,NA,1
2539,INVALID,,,NA,1
25424,INVALID,,,NA,1
25439,INVALID,,,NA,1
2554,INVALID,,,NA,1
25845,INVALID,,,NA,1
25854,INVALID,,,NA,1
25857,INVALID,,,NA,1
25863,INVALID,,,NA,1
25865,INVALID,,,NA,1
25896,INVALID,,,NA,1
25928,INVALID,,,NA,1
25951,INVALID,,,NA,1
25955,INVALID,,,NA,1
25968,INVALID,,,NA,1
25975,INVALID,,,NA,1
2606,INVALID,,,NA,1
26393,INVALID,,,NA,1
26394,INVALID,,,NA,1
26396,INVALID,,,NA,1
26401,INVALID,,,NA,1
26405,INVALID,,,NA,1
26406,INVALID,,,NA,1
26408,INVALID,,,NA,1
26418,INVALID,,,NA,1
2643,INVALID,,,NA,1
26435,INVALID,,,NA,1
26456,INVALID,,,NA,1
26458,INVALID,,,NA,1
2664,INVALID,,,NA,1
2668,INVALID,,,NA,1
26944,INVALID,,,NA,1
26950,INVALID,,,NA,1
26956,INVALID,,,NA,1
26966,INVALID,,,NA,1
26990,INVALID,,,NA,1
27018,INVALID,,,NA,1
2709,INVALID,,,NA,1
2715,INVALID,,,NA,1
27494,INVALID,,,NA,1
27506,INVALID,,,NA,1
27515,INVALID,,,NA,1
27529,INVALID,,,NA,1
27532,INVALID,,,NA,1
27582,INVALID,,,NA,1
2790,INVALID,,,NA,1
2802,INVALID,,,NA,1
28035,INVALID,,,NA,1
28048,INVALID,,,NA,1
28087,INVALID,,,NA,1
28093,INVALID,,,NA,1
28099,INVALID,,,NA,1
28111,INVALID,,,NA,1
28154,INVALID,,,NA,1
28198,PORT_FAIL,,,NA,0
28210,PORT_FAIL,,,NA,0
28219,PORT_FAIL,,,NA,0
28229,PORT_FAIL,,,NA,0
28241,PORT_FAIL,,,NA,0
28243,PORT_FAIL,,,NA,0
28330,PORT_FAIL,,,NA,0
2844,PORT_FAIL,,,NA,0
2847,PORT_FAIL,,,NA,0
2881,PORT_FAIL,,,NA,0
2903,PORT_FAIL,,,NA,0
2913,PORT_FAIL,,,NA,0
2943,PORT_FAIL,,,NA,0
2989,PORT_FAIL,,,NA,0
3048,PORT_FAIL,,,NA,0
2115,Completed,100,0,0,0
