route,status,score,collisions,failed,watchdog
2129,Completed,100,0,0,0
2143,Completed,60,12.763,1,0
2144,Completed,100,0,0,0
2164,Completed,100,0,0,0
2273,Completed,100,0,0,0
2283,Completed,100,0,0,0
2286,Completed,100,0,0,0
23658,Failed,76.14,0,1,0
23670,Completed,100,0,0,0
23700,Completed,100,0,0,0
23708,Completed,100,0,0,0
2373,Completed,70,0,1,0
23771,Completed,100,0,0,0
2390,Completed,100,0,0,0
23901,Completed,100,0,0,0
23918,Completed,100,0,0,0
23930,Failed,97.24,0,1,0
2397,Completed,97.25301,0,1,0
2403,Failed,41.99,0,1,0
24071,Completed,100,0,0,0
24092,Completed,100,0,0,0
2416,Completed,100,0,0,0
24211,Completed,100,0,0,0
24240,,0,0,1,0
24252,Completed,100,0,0,0
24258,Failed,45.366,10.133,1,0
24294,,0,0,1,0
24330,Completed,100,0,0,0
24333,Completed,60,7.577,1,0
24340,Completed,100,0,0,0
24367,Completed,100,0,0,0
24757,Completed,100,0,0,0
24781,,0,0,1,0
24784,Completed,100,0,0,0
24785,,0,0,1,0
24795,Completed,100,0,0,0
24841,,0,0,1,0
2509,Completed,21.6,22.374,1,0
2513,Completed,100,0,0,0
25300,Completed,100,0,0,0
25318,,0,0,1,0
2534,Completed,100,0,0,0
25358,Completed,100,0,0,0
25383,,0,0,1,0
2539,Completed,60,7.494,1,0
25424,Completed,100,0,0,0
25439,Completed,100,0,0,0
2554,Completed,100,0,0,0
25845,Failed,26.7408,25.597,1,0
25863,Completed,70,0,1,0
25865,,0,0,1,0
25928,Completed,100,0,0,0
25951,Completed,100,0,0,0
25968,,0,0,1,0
25975,Failed,35.79,0,1,0
2606,,0,0,1,0
26394,Completed,100,0,0,0
26396,,0,0,1,0
26405,Completed,100,0,0,0
26406,Completed,100,0,0,0
26408,,0,0,1,0
26418,Completed,100,0,0,0
2643,Completed,100,0,0,0
26458,Completed,100,0,0,0
2664,,0,0,1,0
2668,Completed,100,0,0,0
26944,Completed,100,0,0,0
2709,,0,0,1,0
2715,Completed,100,0,0,0
27494,Completed,60,11.604,1,0
27506,,0,0,1,0
27529,Completed,80,0,1,0
27532,,0,0,1,0
27582,Completed,70,0,1,0
2802,Completed,100,0,0,0
28087,Completed,80,0,1,0
28099,Completed,100,0,0,0
28111,Completed,100,0,0,0
28154,,0,0,1,0
28198,Completed,70,0,1,0
28210,Completed,100,0,0,0
28219,Completed,100,0,0,0
28229,Completed,70,0,1,0
28241,Completed,70,0,1,0
28243,Completed,42,12.107,1,0
2844,Failed,28.716,27.207,1,0
2847,Completed,100,0,0,0
2881,Completed,80,0,1,0
2913,Failed,12.120311,53.123,1,0
2943,Completed,100,0,0,0
3048,Completed,100,0,0,0
3072,Completed,100,0,0,0
3074,Completed,100,0,0,0
3080,Completed,100,0,0,0
3086,Completed,42,12.004,1,0
3090,Completed,70,0,1,0
3099,Completed,100,0,0,0
3100,Completed,70,0,1,0
3144,Failed,23.485,0,1,0
3178,Completed,100,0,0,0
3184,Completed,100,0,0,0
3189,Completed,100,0,0,0
3248,Completed,100,0,0,0
3255,Completed,100,0,0,0
3307,Completed,100,0,0,0
3410,Failed,21.4188,27.476,1,0
3457,Completed,100,0,0,0
3464,Failed,28.63,0,1,0
3472,Completed,100,0,0,0
3476,Completed,100,0,0,0
3482,Completed,100,0,0,0
3514,Completed,100,0,0,0
3520,Completed,100,0,0,0
3540,Completed,100,0,0,0
3561,Completed,100,0,0,0
3564,Completed,100,0,0,0
3572,Completed,100,0,0,0
3575,Completed,100,0,0,0
3666,Completed,80,0,1,0
3670,Completed,100,0,0,0
3676,Completed,100,0,0,0
3697,Failed,20.9016,45.149,1,0
3708,Completed,100,0,0,0
3712,Completed,100,0,0,0
3717,Completed,60,13.493,1,0
3731,Completed,100,0,0,0
3737,Failed,19.541316,43.178,1,0
3749,Completed,70,0,1,0
3785,Failed,98.66,0,1,0
3800,Completed,100,0,0,0
3813,Completed,100,0,0,0
3865,Failed,30.59,0,1,0
3869,Completed,70,0,1,0
3876,Failed,27.559,0,1,0
3890,Completed,98.640372,0,1,0
3904,Completed,100,0,0,0
3936,Completed,70,0,1,0
4183,Failed,8.563177,54.204,1,0
4468,Completed,70,0,1,0
4669,Completed,42,12.88,1,0
4683,Completed,70,0,1,0
4937,Completed,70,0,1,0
