route,arm,k,status,score,collisions,failed,watchdog
11381,cand,1,Completed,100,0,0,0
11381,base,1,Completed,100,0,0,0
11381,cand,2,Failed,28.97,0,1,0
11381,base,2,Completed,100,0,0,0
17635,cand,1,Completed,100,0,0,0
17635,base,1,Completed,100,0,0,0
17635,cand,2,Completed,100,0,0,0
17635,base,2,Completed,100,0,0,0
2127,cand,1,Completed,100,0,0,0
2127,base,1,Completed,100,0,0,0
2127,cand,2,Completed,100,0,0,0
2127,base,2,Completed,100,0,0,0
2215,cand,1,Completed,70,0,1,0
2215,base,1,Completed,70,0,1,0
2215,cand,2,Completed,70,0,1,0
2215,base,2,Completed,70,0,1,0
23695,cand,1,Completed,100,0,0,0
23695,base,1,Completed,100,0,0,0
23695,cand,2,Completed,100,0,0,0
23695,base,2,Completed,60,6.457,1,0
24078,cand,1,Completed,60,8.714,1,0
24078,base,1,Completed,60,8.714,1,0
24078,cand,2,Completed,100,0,0,0
24078,base,2,Completed,100,0,0,0
24224,cand,1,Completed,100,0,0,0
24224,base,1,Completed,50,7.572,1,0
24224,cand,2,Completed,100,0,0,0
24224,base,2,Completed,100,0,0,0
25378,cand,1,,0,0,1,0
25378,base,1,,0,0,1,0
25378,cand,2,,0,0,1,0
25378,base,2,,0,0,1,0
25857,cand,1,INVALID,,,NA,1
25857,base,1,INVALID,,,NA,1
25857,cand,2,INVALID,,,NA,1
25857,base,2,INVALID,,,NA,1
26393,cand,1,,0,0,1,0
26393,base,1,,0,0,1,0
26393,cand,2,,0,0,1,0
26393,base,2,,0,0,1,0
26456,cand,1,,0,0,1,0
26456,base,1,,0,0,1,0
26456,cand,2,,0,0,1,0
26456,base,2,,0,0,1,0
26966,cand,1,,0,0,1,0
26966,base,1,,0,0,1,0
26966,cand,2,,0,0,1,0
26966,base,2,,0,0,1,0
27515,cand,1,,0,0,1,0
27515,base,1,,0,0,1,0
27515,cand,2,,0,0,1,0
27515,base,2,,0,0,1,0
28048,cand,1,INVALID,,,NA,1
28048,base,1,INVALID,,,NA,1
28048,cand,2,INVALID,,,NA,1
28048,base,2,INVALID,,,NA,1
2903,cand,1,INVALID,,,NA,1
2903,base,1,INVALID,,,NA,1
2903,cand,2,Completed,36,24.177,1,0
2903,base,2,Failed,20.406,35.544,1,0
3364,cand,1,Completed,70,0,1,0
3364,base,1,Completed,70,0,1,0
3364,cand,2,Completed,70,0,1,0
3364,base,2,Completed,70,0,1,0
3380,cand,1,Completed,70,0,1,0
3380,base,1,Completed,70,0,1,0
3380,cand,2,Completed,70,0,1,0
3380,base,2,Completed,70,0,1,0
2143,base,1,Completed,100,0,0,0
2143,base,2,Completed,100,0,0,0
28243,base,1,Completed,100,0,0,0
28243,base,2,Completed,100,0,0,0
3410,base,1,Completed,100,0,0,0
3410,base,2,Completed,100,0,0,0
3737,base,1,Completed,100,0,0,0
3737,base,2,Completed,100,0,0,0
